"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
8,"BOT","kKS","Strike Swinging","R",8,90,5,1,1,0,1,26,30.4,97.6,90.7951283739302,1,"CT","Cutter"
6,"BOT","bB","Ball","R",78,91,11,2,2,0,1,29,26.7,95.2,88.6194721407625,0,"FA","Fastball"
6,"BOT","kKL","Strike Looking","R",80,81,2,1,1,2,1,35,26.2,93.3,87.1107681515258,-6,"SL","Slider"
3,"BOT","kKS","Strike Swinging","R",54,86,7,3,2,0,1,32,28.1,96.2,89.4476630713919,0,"SL","Slider"
2,"TOP","bB","Ball","R",29,81,12,1,2,0,1,32,26.8,96.9,89.382315978456,0,"CU","Curveball"
4,"TOP","kKS","Strike Swinging","R",88,84,11,2,2,1,1,31,26.1,93.8,86.2652086677368,2,"SP","Splitter"
1,"BOT","bB","Ball","R",10,88,11,1,1,0,1,28,28.4,90.7,83.4196264975335,-2,"CT","Cutter"
8,"TOP","kKS","Strike Swinging","R",14,80,13,1,0,2,1,31,26.7,88.2,82.8614525139665,-2,"SL","Slider"
3,"BOT","bB","Ball","R",39,92,7,1,0,1,0,28,28.4,98.4,89.3872859949481,0,"FA","Fastball"
6,"TOP","bB","Ball","R",5,84,11,0,0,1,0,36,26.2,98.1,90.8550535987749,-1,"CH","Changeup"
7,"TOP","bB","Ball","R",5,96,11,1,2,2,0,36,28.9,98.1,90.8550535987749,0,"FA","Fastball"
8,"TOP","kKL","Strike Looking","R",11,92,3,0,0,2,0,32,28.1,97.9,88.6657084188912,1,"FA","Fastball"
3,"TOP","bB","Ball","R",49,94,13,2,0,1,0,26,30.4,99.2,90.5791819088793,3,"FA","Fastball"
1,"TOP","bB","Ball","R",7,93,13,1,1,0,1,26,30.4,99.2,90.5791819088793,0,"FA","Fastball"
4,"TOP","kFT","Foul Tip","R",45,87,11,3,2,1,0,34,27.5,97.9,88.6657084188912,0,"CH","Changeup"
5,"TOP","bB","Ball","R",67,89,11,0,0,2,1,26,29.4,95.5,88.2470622624963,3,"FA","Fastball"
3,"BOT","kKL","Strike Looking","R",41,94,7,1,0,1,0,26,30.4,97,89.8885632183908,-2,"FA","Fastball"
2,"BOT","bB","Ball","R",52,96,13,0,1,2,1,29,28.7,98.7,90.7064921090387,2,"FA","Fastball"
1,"TOP","bB","Ball","L",17,78,13,1,2,2,1,28,26,94.3,85.487557840617,0,"CH","Changeup"
7,"BOT","-","SEE RUNNER(S) OUTCOME","L",0,0,0,0,0,2,1,28,26.7,94.9,88.573664825046,2,"",""
6,"BOT","kKL","Strike Looking","R",17,93,4,1,0,2,0,28,26.7,95.4,90.074325908558,3,"SI","Sinker"
6,"BOT","kKL","Strike Looking","R",10,91,4,0,0,1,1,29,28.7,95.4,90.074325908558,2,"SI","Sinker"
1,"BOT","kKS","Strike Swinging","R",12,84,12,3,2,0,0,28,26.7,97.5,88.552803997779,-1,"SL","Slider"
9,"TOP","bB","Ball","L",12,93,12,1,1,0,0,28,28.8,94.4,88.217277486911,-3,"FA","Fastball"
6,"BOT","bB","Ball","R",13,84,11,2,1,2,1,31,28.5,95,86.9486885245902,5,"CH","Changeup"
7,"TOP","bB","Ball","R",14,96,12,0,0,2,1,30,28,98.6,89.621540762902,1,"FA","Fastball"
9,"TOP","kKS","Strike Swinging","R",10,86,13,2,2,0,1,39,29.1,95.3,88.525,1,"CU","Curveball"
5,"BOT","kKL","Strike Looking","R",78,91,7,0,0,1,1,33,25.3,96.2,89.3208506224066,0,"FA","Fastball"
9,"TOP","kKL","Strike Looking","R",18,95,12,2,0,2,0,32,26.7,97.7,87.9418681318681,-2,"FA","Fastball"
3,"BOT","kKS","Strike Swinging","R",33,79,13,1,2,0,1,29,27.7,90.7,83.4196264975335,1,"CU","Curveball"
1,"TOP","bB","Ball","R",6,78,10,1,1,0,1,28,26.7,93.7,85.9162055335968,0,"CU","Curveball"
3,"BOT","bB","Ball","R",56,81,11,2,2,2,1,26,30.3,95.2,85.0974489795918,-1,"SL","Slider"
5,"BOT","bDB","Dirt Ball","R",85,74,12,1,2,0,1,32,26.9,87.3,77.252186277995,-1,"CH","Changeup"
5,"BOT","kKL","Strike Looking","R",69,87,6,0,0,1,0,29,27.7,93.7,83.4505389980977,3,"CT","Cutter"
